item,sentence,sentence_type,group,word,target_response,adverb
prac,The [subj] has typically blorked the [obj].,perfect transitive,buildings_vehicles,building,[subj],typically
prac,The [subj] has always blorked the [obj].,perfect transitive,buildings_vehicles,bus,[obj],always
prac,"Because the [subj] has usually blorked the [obj], I'm satisfied.",perfect transitive,buildings_vehicles,bus,[obj],usually
prac,The [subj] has always blorked the [obj] when Chris is in town.,perfect transitive,buildings_vehicles,building,[subj],always
prac,It is the [obj] that the [subj] has always blorked.,cleft object perfect transitive,buildings_vehicles,bus,[obj],always
prac,That's the [obj] that the [subj] has often blorked.,presentational ORC perfect transitive,buildings_vehicles,building,[subj],often
prac,The [subj] has always blorked the [obj].,perfect transitive,buildings_vehicles,house,[subj],always
prac,The [subj] has usually blorked the [obj].,perfect transitive,buildings_vehicles,car,[obj],usually
prac,It is the [obj] that the [subj] has always blorked.,cleft object perfect transitive,buildings_vehicles,house,[subj],always
prac,The [subj] has always blorked the [obj] when Chris is in town.,perfect transitive,buildings_vehicles,bus,[obj],always
prac,"Even though the [subj] has typically blorked the [obj], no one is happy about it.",perfect transitive,buildings_vehicles,car,[obj],typically
prac,"Despite George's best efforts, the [subj] has usually blorked the [obj].",perfect transitive,buildings_vehicles,building,[subj],usually
prac,That's the [obj] that the [subj] has often blorked.,presentational ORC perfect transitive,buildings_vehicles,house,[subj],often
prac,"Even though the [subj] has typically blorked the [obj], no one is happy about it.",perfect transitive,buildings_vehicles,barn,[subj],typically
prac,She insisted that the [subj] has rarely blorked the [obj].,perfect transitive,buildings_vehicles,bicycle,[obj],rarely
prac,I'm surprised that the [subj] has never blorked the [obj].,perfect transitive,buildings_vehicles,car,[obj],never
prac,It is the [obj] that the [subj] has always blorked.,cleft object perfect transitive,buildings_vehicles,barn,[subj],always
prac,"Despite George's best efforts, the [subj] has usually blorked the [obj].",perfect transitive,buildings_vehicles,bus,[obj],usually
prac,"Because the [subj] has usually blorked the [obj], I'm satisfied.",perfect transitive,buildings_vehicles,building,[subj],usually
prac,"Even though the [subj] has typically blorked the [obj], no one is happy about it.",perfect transitive,buildings_vehicles,barn,[subj],typically
prac,"Because the [subj] has usually blorked the [obj], I'm satisfied.",perfect transitive,buildings_vehicles,bicycle,[obj],usually
