item,sentence,sentence_type,group,adverb,word,seen_in_training,target_response
0,The [subj] has always blorked the [obj].,perfect transitive,buildings_vehicles,always,building,True,[subj]
1,The [subj] seems to have often blorked the [obj].,raising perfect transitive,buildings_vehicles,often,building,True,[subj]
2,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,buildings_vehicles,typically,building,True,[subj]
3,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,buildings_vehicles,usually,building,True,[subj]
4,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,buildings_vehicles,always,building,True,[subj]
5,The [obj] has often been blorked by the [subj].,perfect passive,buildings_vehicles,often,building,True,[subj]
6,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,buildings_vehicles,typically,building,True,[subj]
7,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,buildings_vehicles,usually,building,True,[subj]
8,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,buildings_vehicles,always,building,True,[subj]
9,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,buildings_vehicles,often,building,True,[subj]
10,The [subj] has often blorked the [obj].,perfect transitive,buildings_vehicles,often,mansion,True,[subj]
11,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,buildings_vehicles,typically,mansion,True,[subj]
12,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,buildings_vehicles,usually,mansion,True,[subj]
13,The [subj] hasn't always blorked the [obj].,neg perfect transitive,buildings_vehicles,always,mansion,True,[subj]
14,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,buildings_vehicles,often,mansion,True,[subj]
15,The [obj] has typically been blorked by the [subj].,perfect passive,buildings_vehicles,typically,mansion,True,[subj]
16,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,buildings_vehicles,usually,mansion,True,[subj]
17,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,buildings_vehicles,always,mansion,True,[subj]
18,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,buildings_vehicles,often,mansion,True,[subj]
19,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,buildings_vehicles,typically,mansion,True,[subj]
20,The [subj] has typically blorked the [obj].,perfect transitive,buildings_vehicles,typically,barn,True,[subj]
21,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,buildings_vehicles,usually,barn,True,[subj]
22,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,buildings_vehicles,always,barn,True,[subj]
23,The [subj] hasn't often blorked the [obj].,neg perfect transitive,buildings_vehicles,often,barn,True,[subj]
24,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,buildings_vehicles,typically,barn,True,[subj]
25,The [obj] has usually been blorked by the [subj].,perfect passive,buildings_vehicles,usually,barn,True,[subj]
26,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,buildings_vehicles,always,barn,True,[subj]
27,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,buildings_vehicles,often,barn,True,[subj]
